"SPECIES","BIN","LOWER","UPPER","MIDPOINT","MINIMUM"
"TANNER","[4.3,4.325)",2.2,2.5,4.3125,2.44162243869743
"TANNER","[4.325,4.35)",2.3,2.6,4.3375,2.52343936933631
"TANNER","[4.35,4.375)",2.3,2.6,4.3625,2.53000442299533
"TANNER","[4.375,4.4)",2.3,2.6,4.3875,2.53062590689573
"TANNER","[4.4,4.425)",2.4,2.7,4.4125,2.60263737049212
"TANNER","[4.425,4.45)",2.4,2.7,4.4375,2.60293779521616
"TANNER","[4.45,4.475)",2.4,2.7,4.4625,2.60771507523462
"TANNER","[4.475,4.5)",2.5,2.8,4.4875,2.64467213445536
"TANNER","[4.5,4.525)",2.6,2.9,4.5125,2.68297800893236
"TANNER","[4.525,4.55)",2.6,2.9,4.5375,2.70793430804098
"TANNER","[4.55,4.575)",2.6,2.9,4.5625,2.74742205863051
"TANNER","[4.575,4.6)",2.7,3,4.5875,2.78645593155655
"TANNER","[4.6,4.625)",2.7,3,4.6125,2.81404625122188
"TANNER","[4.625,4.65)",2.7,3,4.6375,2.84833041197171
"TANNER","[4.65,4.675)",2.8,3.1,4.6625,2.89020369856325
"TANNER","[4.675,4.7)",2.8,3.1,4.6875,2.90150149198886
"TANNER","[4.7,4.725)",2.8,3.1,4.7125,2.93914445605135
"TANNER","[4.725,4.75)",2.9,3.2,4.7375,2.96214133223199
"TANNER","[4.75,4.775)",2.9,3.2,4.7625,2.99254229024494
"TANNER","[4.775,4.8)",3,3.3,4.7875,3.04715769538897
"TANNER","[4.8,4.825)",3,3.3,4.8125,3.05949639590657
"TANNER","[4.825,4.85)",3,3.3,4.8375,3.08058785230302
"TANNER","[4.85,4.875)",3,3.3,4.8625,3.14626633791373
"TANNER","[4.875,4.9)",3.1,3.4,4.8875,3.17270162198915
"TANNER","[4.9,4.925)",3.2,3.5,4.9125,3.25361434577639
"TANNER","[4.925,4.95)",3.2,3.5,4.9375,3.22726052154055
"SNOW","[3.9,3.925)",2,2.2,3.9125,2.19994724806519
"SNOW","[3.925,3.95)",2.1,2.3,3.9375,2.29994569240316
"SNOW","[3.95,3.975)",2.1,2.3,3.9625,2.29995010360473
"SNOW","[3.975,4)",2.2,2.4,3.9875,2.34891272252171
"SNOW","[4,4.025)",2.2,2.4,4.0125,2.38309314843375
"SNOW","[4.025,4.05)",2.2,2.4,4.0375,2.39992264559996
"SNOW","[4.05,4.075)",2.3,2.5,4.0625,2.41364528383617
"SNOW","[4.075,4.1)",2.3,2.5,4.0875,2.44513020384857
"SNOW","[4.1,4.125)",2.3,2.5,4.1125,2.48572501217692
"SNOW","[4.125,4.15)",2.3,2.5,4.1375,2.49488699682469
"SNOW","[4.15,4.175)",2.4,2.6,4.1625,2.55193617733987
"SNOW","[4.175,4.2)",2.4,2.6,4.1875,2.56515140049033
"SNOW","[4.2,4.225)",2.5,2.7,4.2125,2.58733796279713
"SNOW","[4.225,4.25)",2.5,2.7,4.2375,2.62685705499655
"SNOW","[4.25,4.275)",2.5,2.7,4.2625,2.6480892258175
"SNOW","[4.275,4.3)",2.6,2.8,4.2875,2.65986487752277
"SNOW","[4.3,4.325)",2.6,2.8,4.3125,2.70327763633379
"SNOW","[4.325,4.35)",2.6,2.8,4.3375,2.7304344492004
"SNOW","[4.35,4.375)",2.6,2.8,4.3625,2.77100555638886
"SNOW","[4.375,4.4)",2.7,2.9,4.3875,2.79693533212827
"SNOW","[4.4,4.425)",2.7,2.9,4.4125,2.83330291026158
"SNOW","[4.425,4.45)",2.7,2.9,4.4375,2.86848418489877
"SNOW","[4.45,4.475)",2.8,3,4.4625,2.89937969700181
"SNOW","[4.475,4.5)",2.8,3,4.4875,2.93256540369783
"SNOW","[4.5,4.525)",2.8,3,4.5125,2.95740546913741
"SNOW","[4.525,4.55)",2.9,3.1,4.5375,2.98428874845509
"SNOW","[4.55,4.575)",2.9,3.1,4.5625,3.00439162955108
"SNOW","[4.575,4.6)",2.9,3.1,4.5875,3.03394515645972
